Date,Count
2020-02-27,0
2020-02-28,1
2020-02-29,2
2020-03-01,4
2020-03-02,12
2020-03-03,17
2020-03-04,30
2020-03-05,39
2020-03-06,47
2020-03-07,53
2020-03-08,59
2020-03-09,68
2020-03-10,82
2020-03-11,106
2020-03-12,122
2020-03-13,142
2020-03-14,166
2020-03-15,186
2020-03-16,208
2020-03-17,261
2020-03-18,339
2020-03-19,415
2020-03-20,475
2020-03-21,567
2020-03-22,589
2020-03-23,656
2020-03-24,762
2020-03-25,803
2020-03-26,894
2020-03-27,964
2020-03-28,1020
2020-03-29,1086
2020-03-30,1135
2020-03-31,1220
2020-04-01,1319
2020-04-02,1364
2020-04-03,1418
2020-04-04,1448
2020-04-05,1562
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
